0=正确|Correct
24013=连接证券失败|
24014=发送请求到证券失败|
24015=接受证券应答失败|
24016=发送证券应答失败|
24017=首次登陆需要修改密码|Password should be updated when first login!
24018=授权码验证不通过|Terminal Code Validation does not pass
24019=撤单操作对象委托类型不匹配|
24020=非管理员前置|
24021=不能找到对应汇率|
24022=不能找到货币质押比率|
24023=质押动作不正确|Pledge action not right.
24024=系统参数不正确，报价单位为0|"System param not right, price unit is zero."
24025=系统参数不正确，汇率为0|"System param not right, exchange rate is zero."
24026=记录已存在|Records allready exist
24027=记录不存在|Record not exist
24028=不允许订阅全部|not allow sub all
24029=未找到最低保障系数|MinSecurityCoefficient not found
24030=未找到标的物收盘价|Underlying PreClosePrice not found
24031=保证金优惠参数表单字段错误|Margin Preferential Parame table has bad field
24032=非优惠组合合约|Invalid Preferential Comb Instrument
24033=组合与拆分指令版本太旧|Margin Comb Action Order Version Is Old
24034=消息号不存在|MsgNumber not exist
24035=最大手数为负数，强制为零|Max volume is less than 0 and froced to 0
